height,found_at,value,pool_scoring_hashrate_ghps,user_scoring_hashrate_ghps,user_reward
734189,2022-04-30 04:06:41,6.39904445,13180445212.430992,1522520.0813051425,0.00072440
734191,2022-04-30 04:50:24,6.42692676,13186763674.372417,1510317.5858433347,0.00072138
734205,2022-04-30 06:41:44,6.37822328,13098585250.145132,1518330.4439050292,0.00072455
734250,2022-04-30 13:15:42,6.26186119,13150065152.209728,1511571.4469583437,0.00070539
734272,2022-04-30 17:19:00,6.38566430,13130608402.303778,1530197.9691656418,0.00072929
734346,2022-05-01 04:56:35,6.26367648,13060655619.50799,1545403.503452501,0.00072633
734366,2022-05-01 07:38:51,6.36156793,13213790732.995468,1529479.7466650358,0.00072161
734367,2022-05-01 07:44:20,6.29656823,13186584142.584818,1533050.665358641,0.00071739
734373,2022-05-01 08:44:11,6.31143894,13145066979.561403,1519383.5212004175,0.00071492
734398,2022-05-01 12:24:31,6.29203476,13094174994.02374,1518471.0477166213,0.00071507
734511,2022-05-02 03:30:16,6.25496973,13202649467.188868,1536501.195162018,0.00071338
734514,2022-05-02 03:50:31,6.27418031,13101393876.7732,1531611.4805459608,0.00071881
734528,2022-05-02 05:52:45,6.25609630,13034242141.318659,1546339.6300947347,0.00072736
734535,2022-05-02 06:12:51,6.25189423,13014594421.526129,1534264.2906198825,0.00072228
734542,2022-05-02 07:30:26,6.37992279,13093962347.145187,1548424.5266705875,0.00073937
734583,2022-05-02 14:22:28,6.43367299,12208989972.883196,1529597.622191631,0.00078992
734592,2022-05-02 16:08:53,6.38895924,12051575351.578728,1518441.7731162289,0.00078888
734594,2022-05-02 16:39:40,6.36612919,12013366949.709692,1529681.1084525872,0.00079440
734596,2022-05-02 17:01:23,6.41612958,11985067770.674227,1533431.9886289262,0.00080449
734616,2022-05-02 20:40:21,6.35983470,11895677730.301615,1538513.1736323282,0.00080609
734636,2022-05-02 23:22:57,6.28035664,13032517051.912704,1543550.0001505073,0.00072896
734646,2022-05-03 00:25:36,6.30004872,13050406141.128363,1520748.6318141196,0.00071946
734651,2022-05-03 00:56:22,6.30927086,13050780348.702665,1536269.3825668616,0.00072785
734668,2022-05-03 04:26:22,6.36714792,13082106674.391289,1520038.5060461638,0.00072501
734697,2022-05-03 08:53:10,6.25895104,13093431545.271109,1506821.492573011,0.00070589
734699,2022-05-03 08:57:25,6.27867164,13084726386.730633,1512791.2743612078,0.00071139
734701,2022-05-03 09:04:29,6.26025145,13100346120.332233,1511895.5028140326,0.00070804
734706,2022-05-03 09:45:15,6.26182287,13168122827.392056,1520782.1449408876,0.00070872
734710,2022-05-03 11:00:24,6.31279078,13177038941.91784,1518357.3477242317,0.00071286
734721,2022-05-03 12:54:20,6.25674606,13132315929.91485,1509908.0906618065,0.00070499
734744,2022-05-03 16:58:13,6.27205584,12880972222.916489,1516742.3972419654,0.00072377
734829,2022-05-04 05:19:43,6.25148434,12945438477.234093,1478519.4588334288,0.00069971
734840,2022-05-04 06:58:25,6.34378941,13117090355.849312,1466248.66120698,0.00069494
734883,2022-05-04 14:46:54,6.36046388,13024336196.949173,1467595.887937329,0.00070237
734884,2022-05-04 14:50:04,6.31749816,13037705162.500216,1470057.329416721,0.00069808
734885,2022-05-04 15:23:13,6.49093824,13080821284.993248,1464558.8808511824,0.00071221
734888,2022-05-04 15:40:35,6.38428361,13060241387.96576,1463050.6194280281,0.00070089
734899,2022-05-04 17:59:00,6.36171211,12803939630.134283,1432324.326545933,0.00069743
